brand_family,expression,expression_type,name,is_core_range,proof,abv,age,mash,spirit_type,producer,brand,id
Old Forester,Old Forester Statesman,,Statesman,Y,95,47.5,,"72% Corn, 18% Rye, 10% Malted Barley",,Brown-Forman,Old Forester,4745ad0a-03a3-4683-839a-e0f33a3722aa
Old Forester,Old Forester — 10 Year,,Old Forester 1924 — 10 Year,N,100,50,10,"Corn, Rye, Malted Barley",,Brown-Forman,Old Forester,e2064bd9-9fb0-4893-a664-efebd3f1b51c
Old Grand-Dad,Old Grand-Dad 114,,Old Grand-Dad 114,Y,114,,4,"Corn, Rye, Malted Barley",,Jim Beam (Beam Suntory),Old Grand-Dad,074125ee-5cf1-4747-9ed3-a7a690082695
Old Grand-Dad,Old Grand-Dad Bottled-in-Bond,Bottled-in-Bond,Old Grand-Dad Bottled-in-Bond,N,,,7,"63% Corn, 27% Rye, 10% Malted Barley",,Jim Beam (Beam Suntory),Old Grand-Dad,c5475639-1c76-497b-986b-4660592f92f7
On Your Six,On Your Six Bourbon,,On Your Six Bourbon,Y,80,,,"Corn, Rye, Malted Barley",,On Your Six,On Your Six,801c6450-fce8-4afe-958f-fc73a4d7e8d8
Peerless,Peerless Single Barrel Bourbon,Single Barrel,Peerless Single Barrel Bourbon,Y,114,55.4,8,"Corn, Rye, Malted Barley",,Peerless,Peerless,af105ecb-2432-42b6-9a37-9aaafd538870
Peerless,Peerless Small,Small Batch,Peerless Small Batch Rye,N,111.1,,,"Rye, Malted Barley",,Peerless,Peerless,9b40b21e-f453-451f-a85e-e2ec9050ab28
Penelope,Penelope Toasted Series,,Penelope Toasted Series,N,100,50,,,,Penelope,Penelope,8c66850c-7cbf-4dbb-9f95-4b5010b0d758
Pursuit United,Pursuit United An Adventure in Bold Flavors,,Pursuit United An Adventure in Bold Flavors,N,108,54,,"Corn, Wheat, Malted Barley",,Pursuit United,Pursuit United,84ac08ec-73e1-43b1-bb9a-909088ae41c2
Pursuit United,Pursuit United Blended Straight,,Pursuit United Blended Straight,N,108,54,,,,Pursuit United,Pursuit United,ea345976-9adf-473c-bf9b-b7e11dde1e8d
RD One,RD One Small Batch,Small Batch,RD One Small Batch,N,110,55,,,,RD One,RD One,4b49e3d0-8f2f-4bfd-949a-32ca9878e34c
